 # xp yp zp bx by bz
 0.41379E-01 -0.28966E+00  0.00000E+00 -0.10365E-03  0.18873E-03  0.28122E-02
 0.55172E-01 -0.28966E+00  0.00000E+00 -0.10088E-03  0.19818E-03  0.29573E-02
 0.68966E-01 -0.28966E+00  0.00000E+00 -0.97381E-04  0.20762E-03  0.31029E-02
 0.82759E-01 -0.28966E+00  0.00000E+00 -0.93114E-04  0.21695E-03  0.32476E-02
 0.96552E-01 -0.28966E+00  0.00000E+00 -0.88053E-04  0.22608E-03  0.33899E-02
 0.11034E+00 -0.28966E+00  0.00000E+00 -0.82181E-04  0.23490E-03  0.35281E-02
 0.12414E+00 -0.28966E+00  0.00000E+00 -0.75497E-04  0.24329E-03  0.36604E-02
 0.13793E+00 -0.28966E+00  0.00000E+00 -0.68014E-04  0.25111E-03  0.37849E-02
 0.15172E+00 -0.28966E+00  0.00000E+00 -0.59760E-04  0.25826E-03  0.38996E-02
 0.16552E+00 -0.28966E+00  0.00000E+00 -0.50783E-04  0.26461E-03  0.40026E-02
 0.17931E+00 -0.28966E+00  0.00000E+00 -0.41149E-04  0.27004E-03  0.40918E-02
 0.19310E+00 -0.28966E+00  0.00000E+00 -0.30944E-04  0.27443E-03  0.41656E-02
 0.20690E+00 -0.28966E+00  0.00000E+00 -0.20268E-04  0.27769E-03  0.42222E-02
 0.22069E+00 -0.28966E+00  0.00000E+00 -0.92433E-05  0.27975E-03  0.42601E-02
 0.23448E+00 -0.28966E+00  0.00000E+00  0.19971E-05  0.28053E-03  0.42784E-02
 0.24828E+00 -0.28966E+00  0.00000E+00  0.13307E-04  0.28000E-03  0.42762E-02
 0.26207E+00 -0.28966E+00  0.00000E+00  0.24536E-04  0.27816E-03  0.42533E-02
 0.27586E+00 -0.28966E+00  0.00000E+00  0.35527E-04  0.27502E-03  0.42098E-02
 0.28966E+00 -0.28966E+00  0.00000E+00  0.46131E-04  0.27063E-03  0.41463E-02
 0.30345E+00 -0.28966E+00  0.00000E+00  0.56207E-04  0.26506E-03  0.40640E-02
 0.31724E+00 -0.28966E+00  0.00000E+00  0.65629E-04  0.25843E-03  0.39645E-02
 0.33103E+00 -0.28966E+00  0.00000E+00  0.74292E-04  0.25085E-03  0.38497E-02
 0.34483E+00 -0.28966E+00  0.00000E+00  0.82113E-04  0.24246E-03  0.37218E-02
 0.35862E+00 -0.28966E+00  0.00000E+00  0.89035E-04  0.23342E-03  0.35832E-02
 0.37241E+00 -0.28966E+00  0.00000E+00  0.95028E-04  0.22387E-03  0.34363E-02
 0.38621E+00 -0.28966E+00  0.00000E+00  0.10008E-03  0.21398E-03  0.32836E-02
 0.40000E+00 -0.28966E+00  0.00000E+00  0.10422E-03  0.20387E-03  0.31274E-02
 0.00000E+00 -0.27586E+00  0.00000E+00 -0.99578E-04  0.15432E-03  0.21953E-02
 0.13793E-01 -0.27586E+00  0.00000E+00 -0.98504E-04  0.16250E-03  0.23143E-02
 0.27586E-01 -0.27586E+00  0.00000E+00 -0.96902E-04  0.17082E-03  0.24359E-02
 0.41379E-01 -0.27586E+00  0.00000E+00 -0.94728E-04  0.17924E-03  0.25592E-02
